sector;company_size;user_role;job_position;occupation;occupation_correct;working_times;home_office;self_initiative;flexibility;leadership;communication;creativity;customer_orientation;organization;problem_solving;resilience;goal_orientation;created
Dienstleistungen;Weniger als 1000;"""Andere Rolle""";Koch ;;Koch/Köchin;Beides mÇôglich;0;89;72;72;78;89;67;17;39;67;72;2024-04-04 11:34:43.000
Sonstiges;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Eventmanager;;Eventmanager/Eventmanagerin;Vollzeit;0;100;100;100;94;94;94;94;78;56;94;2024-04-04 11:35:19.000
Handel;Weniger als 500;"""Mitarbeitende:r aus dem Team""";BÇ¬rofachkraft;;Bürokaufmann/Bürokauffrau;;0;78;33;67;50;67;44;67;56;56;67;2024-04-04 11:35:42.000
Produzierendes Gewerbe / Industrie;Weniger als 1000;"""Mitarbeitende:r aus dem Team""";BÇÏckereifachverkÇÏuferin;;Fachverkäufer für Bäckerei- und Konditoreiwaren/Fachverkäuferin für Bäckerei- und Konditoreiwaren;Vollzeit;0;72;61;67;89;83;94;83;50;22;78;2024-04-04 11:36:40.000
Handel;10.000 und mehr;"""Andere Rolle""";;EinkÇÏufer/EinkÇÏuferin;Einkäufer/Einkäuferin;Vollzeit;0;89;67;100;100;89;33;100;89;83;94;2024-04-04 11:36:46.000
Dienstleistungen;Weniger als 100;"""Mitarbeitende:r aus dem Team""";Duale Studentin im Bereich Einkauf;EinkÇÏufer/EinkÇÏuferin;Einkäufer/Einkäuferin;Vollzeit;0;67;83;72;83;89;89;94;67;61;72;2024-04-04 11:37:37.000
Produzierendes Gewerbe / Industrie;Weniger als 500;"""Andere Rolle""";Prduktmanager*in;Produktmanager/Produktmanagerin;Produktmanager/Produktmanagerin;Vollzeit;1;89;72;94;83;72;83;89;72;67;78;2024-04-04 11:38:17.000
Handel;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Vertriebsinnendienst - Kundenberater im Backoffice;;Kundenbetreuer/Kundenbetreuerin;Beides mÇôglich;1;61;72;72;83;94;94;72;67;72;72;2024-04-04 11:38:54.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Social media manager;Digital-Marketing-Manager/Digital-Marketing-Managerin;Digital-Marketing-Manager/Digital-Marketing-Managerin;Beides mÇôglich;1;89;61;67;67;72;72;67;67;67;61;2024-04-04 11:40:22.000
Handwerk;Weniger als 100;"""Andere Rolle""";Konditoren, KÇôche, BÇÏcker, HilfskrÇÏfte;;Konditor/Konditorin;Beides mÇôglich;0;72;78;61;78;61;67;78;61;44;72;2024-04-04 11:40:45.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Projektleiter Global Service & Support;IT-Kundenbetreuer/IT-Kundenbetreuerin;IT-Kundenbetreuer/IT-Kundenbetreuerin;Vollzeit;0;83;83;83;83;83;83;83;83;83;83;2024-04-09 07:16:05.000
Handel;Weniger als 5000;"""Andere Rolle""";;;;Vollzeit;1;72;72;67;67;67;67;67;67;67;67;2024-04-09 07:16:12.000
Handel;10.000 und mehr;"""Andere Rolle""";Projektleiter Internationaler Einkauf;IT-Kundenbetreuer/IT-Kundenbetreuerin;internationaler Logistikmanager/internationale Logistikmanagerin;Vollzeit;1;83;72;83;89;83;78;72;72;83;83;2024-04-09 07:17:41.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";IT Consultant;Projektmanager/Projektmanagerin;IT-Consultant für Systemintegration;Vollzeit;1;67;67;67;67;67;67;67;67;67;67;2024-04-09 07:20:16.000
Produzierendes Gewerbe / Industrie;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Fachinformatiker;Medizinisch-technischer Laborassistent/Medizinisch-technische Laborassistentin;Informatiker/Informatikerin;Vollzeit;1;83;67;72;72;78;67;72;72;67;78;2024-04-09 07:22:30.000
Produzierendes Gewerbe / Industrie;Weniger als 500;"""Andere Rolle""";;;;Vollzeit;0;50;61;56;44;67;44;61;72;61;83;2024-04-09 07:22:37.000
Dienstleistungen;Weniger als 50;"""Mitarbeitende:r aus dem Team""";Informatiker ;;Informatiker/Informatikerin;;1;39;78;61;50;67;78;78;72;72;61;2024-04-09 07:22:39.000
Handel;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Professionell ;Informatiker/Informatikerin;Informatiker/Informatikerin;Beides mÇôglich;1;78;72;94;72;72;78;78;61;67;61;2024-04-09 07:22:48.000
Energie- und Wasserversorgung / Umwelt;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";;;;Vollzeit;0;67;67;67;67;61;67;67;61;56;61;2024-04-09 07:23:51.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";IT Consultant;IT-Projektmanager/IT-Projektmanagerin;IT-Projektmanager/IT-Projektmanagerin;Beides mÇôglich;1;67;50;78;83;61;78;83;83;67;67;2024-04-09 07:24:00.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Informatiker;Informatiker/Informatikerin;Informatiker/Informatikerin;Vollzeit;1;78;67;78;89;89;94;89;50;61;83;2024-04-09 07:24:25.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";IT Projektleiter Service & Support;IT-Projektmanager/IT-Projektmanagerin;IT-Projektmanager/IT-Projektmanagerin;Vollzeit;1;89;67;78;83;83;67;61;67;56;83;2024-04-09 07:24:46.000
Energie- und Wasserversorgung / Umwelt;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Mitarbeiter;Informatiker/Informatikerin;Informatiker/Informatikerin;Vollzeit;0;44;56;72;67;67;67;67;67;67;67;2024-04-09 07:26:29.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Projektleiter im WarengeschÇÏft;Informatiker/Informatikerin;Informatiker/Informatikerin;Vollzeit;1;72;78;100;89;72;78;78;78;50;72;2024-04-09 07:29:35.000
Handel;10.000 und mehr;"""Andere Rolle""";EinkÇÏufer;Ertragsmanager/Ertragsmanagerin;Einkäufer/Einkäuferin;Vollzeit;0;100;83;89;89;83;78;94;83;72;72;2024-04-09 07:58:16.000
Handel;Weniger als 5000;"""Andere Rolle""";Internationaler disponent ;Ertragsmanager/Ertragsmanagerin;Frachtdisponent/Frachtdisponentin;Vollzeit;0;72;67;94;100;72;89;83;67;61;61;2024-04-09 08:00:04.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Mitarbeiter Verkauf Frischfisch;FachverkÇÏufer/FachverkÇÏuferin;Fachverkäufer/Fachverkäuferin;Vollzeit;0;61;83;83;94;78;100;78;67;67;94;2024-04-09 08:00:51.000
Produzierendes Gewerbe / Industrie;Weniger als 1000;"""Mitarbeitende:r aus dem Team""";VerkÇÏufer*in in unserer Filiale am Karlsplatz Stachus ;VerkÇÏufer/VerkÇÏuferin;Verkäufer/Verkäuferin;Teilzeit;0;78;39;44;78;72;100;67;50;61;67;2024-04-09 08:01:09.000
Dienstleistungen;Weniger als 50;"""Andere Rolle""";Restaurantmanager;Restaurantmanager/Restaurantmanagerin;Restaurantmanager/Restaurantmanagerin;Vollzeit;0;67;72;78;67;50;89;67;100;61;94;2024-04-09 08:01:22.000
Handel;Weniger als 1000;"""Mitarbeitende:r aus dem Team""";Abteilungsleiter fÇ¬r SB-Wurst und Convenience ;EinzelhÇÏndler/EinzelhÇÏndlerin;Vertriebsleiter für Fleisch und Fleischprodukte/Vertriebsleiterin für Fleisch und Fleischprodukte;Vollzeit;0;67;61;89;100;83;83;83;83;72;78;2024-04-09 08:01:35.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Einkaufsassistenz;;Einkäufer/Einkäuferin;Vollzeit;1;72;83;94;100;83;83;89;78;83;83;2024-04-09 08:01:46.000
Sonstiges;Weniger als 50;"""Mitarbeitende:r aus dem Team""";Eventmanager;Eventmanager/Eventmanagerin;Eventmanager/Eventmanagerin;Vollzeit;1;78;50;94;89;56;78;78;50;83;72;2024-04-09 08:03:29.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Einkaufsleiter;Einkaufsleiter/Einkaufsleiterin;Einkaufsleiter/Einkaufsleiterin;Vollzeit;0;100;100;100;100;67;33;67;33;67;33;2024-04-09 08:03:32.000
Handel;Weniger als 1000;"""Mitarbeitende:r aus dem Team""";FachverkÇÏufer fÇ¬r Fleisch- und Wurstwaren;FachverkÇÏufer fÇ¬r Fleisch- und Wurstwaren/FachverkÇÏuferin fÇ¬r Fleisch- und Wurstwaren;Fachverkäufer für Fleisch- und Wurstwaren/Fachverkäuferin für Fleisch- und Wurstwaren;Beides mÇôglich;0;50;22;61;78;56;56;50;78;83;39;2024-04-09 08:04:00.000
Handel;Weniger als 5000;"""Andere Rolle""";Junior Projektassistent;;Fachkraft für Projektunterstützung;Vollzeit;1;72;72;83;94;67;89;83;56;50;94;2024-04-09 08:04:06.000
Produzierendes Gewerbe / Industrie;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Controlling ;Prognosemanager/Prognosemanagerin;Prognosemanager/Prognosemanagerin;Beides mÇôglich;0;78;67;83;61;61;33;56;67;39;89;2024-04-09 08:05:00.000
Handel;Weniger als 5000;"""Andere Rolle""";Junior Consultant bei Branding and Packaging;Mediengestalter Digital und Print ƒ?? Gestaltung und Technik/Mediengestalterin Digital und Print ƒ?? Gestaltung und Technik;Mediengestalter Digital und Print – Gestaltung und Technik/Mediengestalterin Digital und Print – Gestaltung und Technik;Beides mÇôglich;1;67;72;72;61;50;50;44;89;89;50;2024-04-09 08:06:33.000
Ç?ffentlicher Sektor;Weniger als 1000;"""Bereichsleitung""";VertriebsunterstÇ¬tzung;Ertragsmanager/Ertragsmanagerin;Fachkraft im Bereich Vertrieb;Teilzeit;1;83;67;72;67;83;83;94;61;67;78;2024-04-09 08:14:43.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Senior Projektleiter;Projektmanager/Projektmanagerin;Projektmanager/Projektmanagerin;Vollzeit;1;94;100;89;100;100;100;100;100;100;100;2024-04-10 07:15:31.000
Produzierendes Gewerbe / Industrie;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Key Account Manager;Ertragsmanager/Ertragsmanagerin;Ertragsmanager/Ertragsmanagerin;Vollzeit;0;33;50;56;83;83;83;72;72;83;89;2024-04-10 07:15:52.000
Handel;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Projektmanager E-Commerce;;Projektmanager/Projektmanagerin;Vollzeit;1;100;94;100;100;100;100;100;100;100;83;2024-04-10 07:16:04.000
IT, Medien und Telekommunikation;10.000 und mehr;"""Andere Rolle""";Digital Marketing Manager Paid Search;Digital-Marketing-Manager/Digital-Marketing-Managerin;Digital-Marketing-Manager/Digital-Marketing-Managerin;Vollzeit;1;67;67;83;83;78;78;78;78;83;72;2024-04-10 07:16:51.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Dualer Student;;;Vollzeit;0;83;89;89;94;94;89;89;83;94;89;2024-04-10 07:17:12.000
Handel;Weniger als 500;"""Andere Rolle""";;Entwickler von BenutzeroberflÇÏchen/Entwicklerin von BenutzeroberflÇÏchen;;Vollzeit;1;78;61;72;89;56;11;50;50;61;78;2024-04-10 07:17:50.000
Handel;Weniger als 500;"""Andere Rolle""";Social Media Manager;Digital-Marketing-Manager/Digital-Marketing-Managerin;Digital-Marketing-Manager/Digital-Marketing-Managerin;Vollzeit;1;94;78;83;78;83;56;72;39;56;61;2024-04-10 07:18:19.000
Handel;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";GroÇ?kundenverkÇÏufer;GroÇ?hÇÏndler/GroÇ?hÇÏndlerin;Großhändler/Großhändlerin;Vollzeit;0;72;72;89;94;89;83;83;100;89;89;2024-04-10 07:18:25.000
IT, Medien und Telekommunikation;10.000 und mehr;"""Andere Rolle""";Junior Consultant ;IT-Consultant fÇ¬r Systemintegration;IT-Consultant für Systemintegration;Vollzeit;0;78;78;94;94;83;100;83;78;67;89;2024-04-10 07:18:26.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Manager Brand Experience;;Brand Manager/Brand Managerin;Vollzeit;1;78;67;89;72;83;61;89;67;72;72;2024-04-10 07:18:30.000
IT, Medien und Telekommunikation;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";(Junior) Professional Business Consulting;IT-Consultant fÇ¬r Systemintegration;IT-Consultant für Systemintegration;Vollzeit;1;89;78;61;78;89;94;83;72;67;83;2024-04-10 07:19:06.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Performance Marketing Manager;;Führungskraft für Marketing;Vollzeit;1;83;61;83;67;78;72;78;50;50;78;2024-04-10 07:19:15.000
Produzierendes Gewerbe / Industrie;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Key Account Manager Professional;Ertragsmanager/Ertragsmanagerin;Ertragsmanager/Ertragsmanagerin;Vollzeit;1;83;61;89;78;56;78;89;72;61;89;2024-04-10 07:19:16.000
Handel;10.000 und mehr;"""Andere Rolle""";Projektleiterin Apps und Systeme;Programmmanager/Programmmanagerin;IT-Projektmanager/IT-Projektmanagerin;Vollzeit;1;61;61;94;89;78;78;72;56;44;67;2024-04-10 07:19:19.000
Gesundheits- und Bildungssektor;Weniger als 50;"""Oberes Management""";MFA;Medizinisch-technischer Laborassistent/Medizinisch-technische Laborassistentin;Medizinischer Fachangestellter/Medizinische Fachangestellte;Teilzeit;0;83;56;78;94;78;83;94;78;83;100;2024-04-14 16:31:02.000
Verkehr, Transport und Logistik;10.000 und mehr;"""Bereichsleitung""";Teamleiter Lagerlogistik;FÇ¬hrungskraft in der Lagerwirtschaft;Führungskraft in der Lagerwirtschaft;Vollzeit;0;50;78;83;61;72;50;56;78;72;89;2024-04-18 12:55:59.000
Handel;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Webcontent;Web-Content-Manager/Web-Content-Managerin;Web-Content-Manager/Web-Content-Managerin;Vollzeit;0;61;56;61;44;78;72;44;72;89;83;2024-04-19 08:11:01.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";VerkÇÏufer / VerkÇÏuferin  ;VerkÇÏufer/VerkÇÏuferin;Verkäufer/Verkäuferin;Vollzeit;0;78;78;94;72;72;89;83;78;72;67;2024-04-19 08:11:01.000
Handel;10.000 und mehr;"""Bereichsleitung""";Warenbereichsleiter;;Verkaufsleiter/Verkaufsleiterin;Vollzeit;0;56;67;67;61;56;61;50;67;61;61;2024-04-19 08:11:33.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";FachverkÇÏufer fÇ¬r Fleisch und Wurstprodukte;FachverkÇÏufer/FachverkÇÏuferin;Fachverkäufer für Fleisch- und Wurstwaren/Fachverkäuferin für Fleisch- und Wurstwaren;Teilzeit;0;89;94;89;94;72;94;67;67;83;94;2024-04-19 08:14:07.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";VerkÇÏufer im Einzelhandel;VerkÇÏufer/VerkÇÏuferin;Verkäufer/Verkäuferin;Teilzeit;0;17;44;17;78;56;100;17;33;28;22;2024-04-19 08:14:57.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Kassenkraft in Teilzeit / Vollzeit;Kassierer/Kassiererin;Kassierer/Kassiererin;Beides mÇôglich;0;0;56;22;56;50;100;28;56;28;39;2024-04-19 08:15:00.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Duale Studentin im Einkauf;;;Vollzeit;1;83;67;94;39;44;78;72;33;44;72;2024-04-19 08:15:31.000
Handel;10.000 und mehr;"""Andere Rolle""";Duale Student;Verkaufsleiter/Verkaufsleiterin;;Vollzeit;0;61;61;78;78;56;50;67;61;72;56;2024-04-19 08:15:42.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Junior EinkÇÏufer Nonfood;EinkÇÏufer/EinkÇÏuferin;Einkäufer/Einkäuferin;Vollzeit;1;89;39;78;72;61;72;44;56;39;67;2024-04-19 08:15:56.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";;VerkÇÏufer/VerkÇÏuferin;Verkäufer/Verkäuferin;Beides mÇôglich;0;50;44;39;72;44;44;22;39;78;56;2024-04-19 08:16:05.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Junior EinkÇÏufer Obst&GemÇ¬se;EinkÇÏufer/EinkÇÏuferin;Einkäufer/Einkäuferin;Vollzeit;1;83;83;89;67;72;94;83;56;78;61;2024-04-19 08:16:14.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Duale Studentin im Internationalen Einkauf;;;Vollzeit;0;78;78;94;78;50;78;78;50;50;83;2024-04-19 08:16:30.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Kassierer;VerkÇÏufer/VerkÇÏuferin;Kassierer/Kassiererin;Teilzeit;0;56;44;56;44;33;61;50;39;22;22;2024-04-19 08:16:44.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Dualer Student ;;;Vollzeit;0;67;50;72;61;67;50;78;50;28;67;2024-04-19 08:18:14.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";Dualer Student;Warenhausleiter/Warenhausleiterin;;Vollzeit;1;78;56;94;61;78;94;100;56;56;72;2024-04-19 08:19:01.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";VerkÇÏufer/Kassierer ;VerkÇÏufer/VerkÇÏuferin;Verkäufer/Verkäuferin;Teilzeit;0;50;72;56;83;89;56;72;56;50;22;2024-04-19 08:19:32.000
Handel;10.000 und mehr;"""Mitarbeitende:r aus dem Team""";;VerkÇÏufer/VerkÇÏuferin;Verkäufer/Verkäuferin;Teilzeit;0;11;39;39;72;33;67;50;56;83;17;2024-04-19 08:19:58.000
Verkehr, Transport und Logistik;10.000 und mehr;"""Bereichsleitung""";Warehouse Operator;Lagerarbeiter/Lagerarbeiterin;Lagerarbeiter/Lagerarbeiterin;Vollzeit;0;22;22;28;33;50;33;22;89;56;28;2024-04-19 09:46:24.000
Verkehr, Transport und Logistik;10.000 und mehr;"""Bereichsleitung""";Team Leiter Logistik;FÇ¬hrungskraft in der Lagerwirtschaft;Führungskraft in der Lagerwirtschaft;Vollzeit;0;89;61;78;61;50;78;72;44;44;44;2024-04-19 10:53:06.000
Verkehr, Transport und Logistik;10.000 und mehr;"""Bereichsleitung""";Operations Manager;Betriebsleiter/Betriebsleiterin;Betriebsleiter/Betriebsleiterin;Vollzeit;0;78;50;78;50;67;44;22;44;50;89;2024-04-19 10:59:02.000
Handwerk;Weniger als 100;"""HR\/Recruiting""";Recruiter;;Einstellungsberater/Einstellungsberaterin;Beides mÇôglich;1;89;83;56;83;83;83;83;83;83;83;2024-04-19 11:29:50.000