"sector";"company_size";"user_role";"job_position";"occupation";"working_times";"home_office";"self_initiative";"flexibility";"leadership";"communication";"creativity";"customer_orientation";"organization";"problem_solving";"resilience";"goal_orientation";"created"
"";"";[];Datenwissenschaftler/Datenwissenschaftlerin;;;;83;83;;83;83;83;83;83;83;83;"2023-03-28 15:57:45"
"";"";[];"";"";"";0;83;42;50;72;75;50;67;33;61;67;"2023-05-15 14:29:10"
Sonstiges;Weniger als 100;"[""flex. Arbeitszeiten"",""Homeoffice"",""Kinderbetreuung""]";Buchalterin ;Lohn- und Gehaltsbuchhalter/Lohn- und Gehaltsbuchhalterin;Teilzeit;1;83;42;61;72;71;78;56;61;44;72;"2023-05-22 21:19:54"
Produzierendes Gewerbe / Industrie;Weniger als 500;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""betriebliche Altersvorsorge"",""Verm\u00f6genswirksame Leistungen""]";Produktmanager;Manager/Managerin;Vollzeit;1;83;67;56;61;63;50;78;67;83;56;"2023-05-30 12:18:10"
IT, Medien und Telekommunikation;Weniger als 100;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""Fortbildungsangebote"",""internationale Arbeitseins\u00e4tze m\u00f6glich""]";"";Mediengestalter Digital und Print – Gestaltung und Technik/Mediengestalterin Digital und Print – Gestaltung und Technik;Vollzeit;1;83;67;72;83;67;72;94;67;56;72;"2023-06-02 07:52:29"
Sonstiges;Weniger als 5000;"[""flex. Arbeitszeiten"",""Homeoffice"",""Mitarbeiter-Events"",""betriebliche Altersvorsorge"",""Mitarbeiter-Beteiligung"",""Verm\u00f6genswirksame Leistungen"",""Fortbildungsangebote"",""gute Verkehrsanbindung"",""internationale Arbeitseins\u00e4tze m\u00f6glich""]";Sicherheitsmitarbeiter;Abfallentsorgungsarbeiter und sonstige Hilfsarbeitskräfte;Vollzeit;1;78;75;72;83;63;78;67;61;67;78;"2023-06-13 11:34:53"
Dienstleistungen;Weniger als 50;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Mitarbeiter-Events"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""Mitarbeiter-Beteiligung"",""Fortbildungsangebote""]";MitarbeiterIn in der Kundenbetreuung;Kundenbetreuer/Kundenbetreuerin;Beides möglich;1;72;67;78;78;75;100;50;61;56;67;"2023-06-19 09:42:17"
Dienstleistungen;Weniger als 50;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Kinderbetreuung"",""Mitarbeiter-Events"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""betriebliche Altersvorsorge"",""Fortbildungsangebote""]";Rekruiter:in;Personalberater/Personalberaterin;Beides möglich;1;83;92;83;83;71;100;61;83;78;39;"2023-06-19 13:47:37"
Produzierendes Gewerbe / Industrie;Weniger als 100;"[""Homeoffice"",""gute Verkehrsanbindung"",""Mobiles Arbeiten"",""flex. Arbeitszeiten""]";"";"";Vollzeit;1;100;92;100;89;100;94;100;94;83;89;"2023-06-27 18:58:22"
Produzierendes Gewerbe / Industrie;Weniger als 1000;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Mitarbeiter-Events"",""Kantine \/ Essenzulagen"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""Mitarbeiter-Beteiligung"",""betriebliche Altersvorsorge"",""Verm\u00f6genswirksame Leistungen"",""Fortbildungsangebote"",""Mitarbeiter-Rabatte"",""Parkplatz"",""gute Verkehrsanbindung"",""Job-Rotation"",""internationale Arbeitseins\u00e4tze m\u00f6glich""]";Projektmanagement;Projektmanager/Projektmanagerin;Beides möglich;0;61;50;72;56;79;72;89;61;56;78;"2023-07-04 20:30:15"
Gesundheits- und Bildungssektor;Weniger als 1000;"[""Kantine \/ Essenzulagen"",""Mitarbeiter-Events"",""betriebliche Altersvorsorge"",""Mitarbeiter-Rabatte"",""Fortbildungsangebote"",""gute Verkehrsanbindung""]";Content Creator ;Büroassistent/Büroassistentin;Teilzeit;0;94;75;72;83;75;89;72;72;67;56;"2023-07-04 21:44:49"
Handel;Weniger als 10.000;"[""flex. Arbeitszeiten""]";"";"";Teilzeit;0;33;17;44;44;58;17;11;17;17;44;"2023-07-09 15:35:28"
"";"";[];"";"";"";0;89;100;100;83;71;94;72;67;61;67;"2023-07-12 21:56:04"
Gesundheits- und Bildungssektor;Weniger als 100;"[""flex. Arbeitszeiten"",""Kinderbetreuung""]";Helfer;Pflegehelfer;Teilzeit;1;94;42;89;100;92;94;83;56;56;83;"2023-07-13 13:19:58"
"";"";[];"";"";"";0;0;0;0;0;0;0;0;0;0;0;"2023-07-14 11:36:51"
Sonstiges;Weniger als 1000;"[""flex. Arbeitszeiten""]";CNC-Programmierer in Fräsen/Drehenmetall;"3D-Druck-Techniker/3D-Druck-Technikerin";Vollzeit;0;100;100;100;100;100;100;100;100;100;100;"2023-07-26 23:50:24"
Sonstiges;Weniger als 50;"[""Homeoffice"",""flex. Arbeitszeiten""]";Verwaltungsangestellte bei der Stadt Köln;Verwaltungsangestellter im Bereich Verteidigung/Verwaltungsangestellte im Bereich Verteidigung;Vollzeit;1;78;75;83;56;71;78;78;67;72;72;"2023-07-28 08:19:09"
IT, Medien und Telekommunikation;Weniger als 500;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Kinderbetreuung"",""Mitarbeiter-Events"",""Kantine \/ Essenzulagen"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""betriebliche Altersvorsorge"",""Verm\u00f6genswirksame Leistungen"",""Parkplatz""]";Technische Key Account Managerin;Projektmanager/Projektmanagerin;Vollzeit;1;67;58;72;89;71;83;61;50;89;100;"2023-08-07 14:02:13"
Gesundheits- und Bildungssektor;Weniger als 5000;"[""Homeoffice"",""Mitarbeiter-Events"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""Fortbildungsangebote"",""Mitarbeiter-Rabatte"",""flex. Arbeitszeiten""]";Projektreferent:in ;Projektmanager/Projektmanagerin;Vollzeit;1;83;67;83;78;83;83;72;61;78;72;"2023-08-09 10:36:17"
Dienstleistungen;Weniger als 500;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""betriebliche Altersvorsorge"",""Mitarbeiter-Events"",""Kantine \/ Essenzulagen"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""Verm\u00f6genswirksame Leistungen"",""Fortbildungsangebote"",""Mitarbeiter-Rabatte"",""Parkplatz""]";"";Softwareentwickler;Vollzeit;1;78;67;100;94;92;89;94;50;67;89;"2023-08-13 19:37:10"
Gesundheits- und Bildungssektor;Weniger als 50;"[""flex. Arbeitszeiten""]";Wundmanager   Betreuungskraft;Krankenpfleger Allgemeine Krankenpflege/Krankenschwester Allgemeine Krankenpflege;Teilzeit;0;67;58;78;67;71;83;67;61;72;72;"2023-09-13 10:45:54"
Sonstiges;Weniger als 5000;"[""Kantine \/ Essenzulagen"",""Mitarbeiter-Events"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""gute Verkehrsanbindung"",""betriebliche Altersvorsorge""]";Wirtschafwisserin;Bürokräfte im Finanz- und Rechnungswesen und in der Statistik;Beides möglich;0;78;67;89;72;83;67;94;39;61;78;"2023-09-15 15:20:07"
Produzierendes Gewerbe / Industrie;Weniger als 100;"[""internationale Arbeitseins\u00e4tze m\u00f6glich"",""gute Verkehrsanbindung"",""betriebliche Altersvorsorge"",""Mobiles Arbeiten""]";"";"";"";0;78;67;83;94;88;94;44;22;33;44;"2023-09-20 08:11:00"
Öffentlicher Sektor;Weniger als 5000;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Kantine \/ Essenzulagen"",""betriebliche Altersvorsorge"",""Verm\u00f6genswirksame Leistungen"",""Mitarbeiter-Rabatte"",""internationale Arbeitseins\u00e4tze m\u00f6glich"",""Fortbildungsangebote"",""Parkplatz""]";Projektleitung KI-Projekte;Wissenschaftlicher Mitarbeiter/Wissenschaftliche Mitarbeiterin;Beides möglich;1;78;67;22;67;67;78;67;61;72;67;"2023-09-26 11:39:08"
Öffentlicher Sektor;Weniger als 5000;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Kantine \/ Essenzulagen"",""betriebliche Altersvorsorge"",""Verm\u00f6genswirksame Leistungen"",""Mitarbeiter-Rabatte"",""internationale Arbeitseins\u00e4tze m\u00f6glich"",""Fortbildungsangebote"",""Parkplatz""]";HiWi;Hilfsarbeitskräfte;Teilzeit;1;17;42;61;67;46;67;50;50;39;56;"2023-09-26 12:11:19"
Gesundheits- und Bildungssektor;Weniger als 500;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Fortbildungsangebote"",""internationale Arbeitseins\u00e4tze m\u00f6glich""]";Projektleiter KI-Projekte;Wissenschaftlicher Mitarbeiter/Wissenschaftliche Mitarbeiterin;Beides möglich;0;67;83;89;72;83;89;94;72;72;89;"2023-09-27 16:27:42"
"";"";[];"";"";"";0;94;92;94;94;88;89;94;72;61;83;"2023-10-11 18:35:15"
Produzierendes Gewerbe / Industrie;Weniger als 1000;"[""Homeoffice"",""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Mitarbeiter-Events"",""betriebliche Altersvorsorge"",""Verm\u00f6genswirksame Leistungen"",""Fortbildungsangebote"",""Mitarbeiter-Rabatte"",""Parkplatz"",""Hunde geduldet"",""gute Verkehrsanbindung"",""internationale Arbeitseins\u00e4tze m\u00f6glich""]";Junior Sales Manager;Vertriebstechniker/Vertriebstechnikerin;Vollzeit;0;89;67;83;72;71;83;78;72;61;56;"2023-10-17 15:54:31"
Dienstleistungen;"10.000 und mehr";"[""flex. Arbeitszeiten"",""Mobiles Arbeiten"",""Mitarbeiter-Events"",""Kantine \/ Essenzulagen"",""Gesundheitsf\u00f6rderung \/ -ma\u00dfnahmen"",""Fortbildungsangebote"",""Mitarbeiter-Rabatte"",""Parkplatz"",""gute Verkehrsanbindung""]";Wirtschaftsprüfer;Wirtschaftsprüfer, Steuerberater und verwandte Berufe;Vollzeit;1;61;83;89;83;79;83;100;56;61;67;"2023-10-17 19:33:03"
Öffentlicher Sektor;Weniger als 500;"[""flex. Arbeitszeiten"",""gute Verkehrsanbindung"",""internationale Arbeitseins\u00e4tze m\u00f6glich"",""Homeoffice""]";Projektmitarbeiter KI;Wissenschaftlicher Mitarbeiter/Wissenschaftliche Mitarbeiterin;"";0;78;50;89;72;79;78;89;72;78;78;"2023-11-02 15:17:23"
IT, Medien und Telekommunikation;Weniger als 50;"""Andere Rolle""";Kundenberater/ Vertrieb;Kundenbetreuer/Kundenbetreuerin;Vollzeit;1;78;75;89;72;100;78;89;83;72;89;"2024-01-17 22:49:43"
Banken und Versicherungen;Weniger als 5000;"""Oberes Management""";Wirtschaftsingenieur;Wirtschaftsingenieur/Wirtschaftsingenieurin;Vollzeit;0;100;100;100;100;94;100;94;72;72;83;"2024-01-29 15:13:48"
Dienstleistungen;Weniger als 10.000;"""Bereichsleitung""";Führungskraft im Vertrieb;Führungskraft im Vertrieb;Vollzeit;1;78;100;61;94;78;72;83;50;44;89;"2024-01-29 15:15:54"
Dienstleistungen;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Projektmanager im HR;Projektmanager/Projektmanagerin;Vollzeit;0;67;67;61;67;56;44;72;83;83;78;"2024-01-29 15:17:26"
IT, Medien und Telekommunikation;"10.000 und mehr";"""Andere Rolle""";Developer;Softwareentwickler;Vollzeit;1;78;100;28;22;28;28;17;67;44;39;"2024-01-29 15:19:31"
IT, Medien und Telekommunikation;Weniger als 100;"""Mitarbeitende:r aus dem Team""";Softwareentwickler;Softwareentwickler;Beides möglich;0;67;83;50;33;50;22;17;28;28;44;"2024-01-29 15:19:44"
Banken und Versicherungen;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Hardwaretechniker;Informatiker/Informatikerin;Vollzeit;0;78;83;44;44;67;67;28;50;56;44;"2024-01-29 15:19:48"
Banken und Versicherungen;Weniger als 5000;"""Oberes Management""";Führungskraft im Filialgeschäft;Führungskräfte;Vollzeit;1;89;67;78;89;61;89;89;39;17;44;"2024-01-29 15:21:18"
Banken und Versicherungen;Weniger als 1000;"""Mitarbeitende:r aus dem Team""";"";Betriebsleiter/Betriebsleiterin;Vollzeit;0;67;58;78;67;89;78;83;78;78;56;"2024-01-29 16:32:17"
IT, Medien und Telekommunikation;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Softwareentwickler;Informatiker/Informatikerin;Vollzeit;1;89;92;94;72;78;83;72;72;72;72;"2024-01-29 16:32:45"
IT, Medien und Telekommunikation;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Führungskraft ;Betriebsleiter/Betriebsleiterin;Beides möglich;1;83;67;78;33;72;72;67;33;44;72;"2024-01-29 16:32:55"
Banken und Versicherungen;Weniger als 1000;"""Bereichsleitung""";"";"";"";0;83;83;72;44;61;78;67;28;28;61;"2024-01-29 16:32:57"
Banken und Versicherungen;Weniger als 1000;"""Andere Rolle""";"";"";Vollzeit;0;72;67;78;72;61;78;89;61;61;78;"2024-01-29 16:33:02"
IT, Medien und Telekommunikation;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Führungskraft;Betriebsleiter/Betriebsleiterin;Vollzeit;0;67;50;89;33;72;67;78;56;28;72;"2024-01-29 16:33:08"
IT, Medien und Telekommunikation;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Führungskraft ;Betriebsleiter/Betriebsleiterin;Beides möglich;1;89;100;83;72;72;89;100;83;67;89;"2024-01-29 16:33:23"
Banken und Versicherungen;Weniger als 5000;"""Andere Rolle""";Informatiker ;"";Vollzeit;1;61;67;50;28;44;17;17;61;17;28;"2024-01-29 16:33:25"
IT, Medien und Telekommunikation;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Teamleiterin Vertrieb;Führungskräfte;Vollzeit;1;83;75;94;78;72;72;89;50;50;78;"2024-01-29 16:33:41"
Banken und Versicherungen;Weniger als 1000;"""Andere Rolle""";Dualer Student;"";Vollzeit;0;89;75;83;83;56;83;56;72;72;83;"2024-01-29 16:34:02"
IT, Medien und Telekommunikation;Weniger als 5000;"""Andere Rolle""";Technical Consultant ;"";Vollzeit;0;67;67;83;67;78;67;67;72;61;72;"2024-01-29 16:35:07"
Produzierendes Gewerbe / Industrie;Weniger als 500;"""HR\/Recruiting""";Nachhaltigkeitsbeauftragte/r;Abfallentsorgungsarbeiter;Beides möglich;0;56;100;78;67;50;89;50;72;72;61;"2024-01-31 11:47:05"
Handel;Weniger als 50;"""Teamleitung""";Filialleiter;Führungskräfte;Beides möglich;0;89;67;89;83;56;78;72;50;56;67;"2024-02-05 11:54:13"
Verkehr, Transport und Logistik;Weniger als 500;"""Bereichsleitung""";Teamleiter Logistik;Führungskräfte;Vollzeit;0;83;100;83;78;83;78;50;28;39;78;"2024-02-06 15:37:20"
Öffentlicher Sektor;Weniger als 500;"""Andere Rolle""";"";Softwareentwickler;Beides möglich;0;61;67;83;44;72;78;89;61;61;67;"2024-02-08 10:18:46"
Verkehr, Transport und Logistik;Weniger als 500;"""Bereichsleitung""";Kommissionierer;Lagerarbeiter/Lagerarbeiterin;Vollzeit;0;6;42;44;72;61;50;61;22;39;33;"2024-02-08 13:50:32"
IT, Medien und Telekommunikation;Weniger als 1000;"""Teamleitung""";Sales and Service Trainerin;Call-Center-Trainer/Call-Center-Trainerin;Vollzeit;0;83;83;78;94;94;100;61;83;78;94;"2024-02-08 16:42:01"
Dienstleistungen;Weniger als 50;"""Bereichsleitung""";Salesmanager;Ertragsmanager/Ertragsmanagerin;Vollzeit;1;83;78;89;94;89;100;100;94;89;100;"2024-03-06 10:40:32"
Öffentlicher Sektor;Weniger als 1000;"""Teamleitung""";Schule;"";Teilzeit;0;61;56;83;83;44;50;56;56;44;67;"2024-03-13 12:22:50"
Gesundheits- und Bildungssektor;Weniger als 500;"""Oberes Management""";Qualitätsbeauftragte;Qualitätsmanager/Qualitätsmanagerin;Beides möglich;0;67;61;78;89;78;100;78;83;56;72;"2024-03-14 13:32:51"
IT, Medien und Telekommunikation;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";"";Asphaltlabortechniker/Asphaltlabortechnikerin;Vollzeit;0;89;100;100;100;100;100;100;100;100;100;"2024-03-19 09:08:05"
Handel;Weniger als 5000;"""HR\/Recruiting""";Wirtschaftsingenieur;Informatiker/Informatikerin;Vollzeit;1;72;56;72;94;78;72;83;50;61;72;"2024-03-19 09:11:52"
IT, Medien und Telekommunikation;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";"";Ertragsmanager/Ertragsmanagerin;"";0;83;83;83;83;83;83;83;83;83;83;"2024-03-19 09:12:58"
IT, Medien und Telekommunikation;Weniger als 10.000;"""Andere Rolle""";Softwareentwicklung in der IT;Softwareentwickler/Softwareentwicklerin;Vollzeit;0;78;78;39;89;44;67;83;83;83;83;"2024-03-19 09:15:14"
Verkehr, Transport und Logistik;"10.000 und mehr";"""Andere Rolle""";Projektleiter ;Flugsicherungstechniker/Flugsicherungstechnikerin;Vollzeit;0;89;33;67;56;67;67;67;72;50;67;"2024-03-19 09:15:24"
Banken und Versicherungen;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Berater ;Bankangestellter/Bankangestellte;Vollzeit;1;83;56;67;67;67;67;78;61;33;33;"2024-03-19 09:15:26"
Handel;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Dualer Student;Ertragsmanager/Ertragsmanagerin;Vollzeit;0;83;56;72;56;67;50;56;50;44;56;"2024-03-19 09:15:41"
IT, Medien und Telekommunikation;"10.000 und mehr";"""Andere Rolle""";"";Projektmanager/Projektmanagerin;Vollzeit;0;78;44;72;78;72;78;61;72;56;78;"2024-03-19 09:15:42"
Banken und Versicherungen;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Kundenberater ;Bankkundenberater/Bankkundenberaterin;Vollzeit;1;83;72;83;100;89;94;83;78;83;94;"2024-03-19 09:15:45"
Verkehr, Transport und Logistik;Weniger als 1000;"""Andere Rolle""";"";Flugsicherungstechniker/Flugsicherungstechnikerin;Vollzeit;0;100;89;83;72;72;72;72;89;78;83;"2024-03-19 09:16:02"
Banken und Versicherungen;Weniger als 1000;"""Andere Rolle""";"";"";Vollzeit;0;72;44;89;61;61;61;56;33;17;50;"2024-03-19 09:16:03"
IT, Medien und Telekommunikation;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";SoftwareentwicklerIn;Softwareentwickler/Softwareentwicklerin;Vollzeit;1;72;83;72;72;72;50;72;89;56;67;"2024-03-19 09:16:05"
Banken und Versicherungen;Weniger als 500;"""Teamleitung""";Kundenbetreuung Immobilien;Kundenbetreuer/Kundenbetreuerin;Vollzeit;0;83;83;56;56;78;67;83;83;83;83;"2024-03-19 09:17:00"
Banken und Versicherungen;Weniger als 1000;"""Andere Rolle""";Privatkundenberater ;Bankkundenberater/Bankkundenberaterin;Vollzeit;1;78;72;100;89;78;89;89;44;61;72;"2024-03-19 09:17:11"
IT, Medien und Telekommunikation;Weniger als 50;"""Andere Rolle""";Softwareentwickler;"";Vollzeit;1;78;67;83;83;78;89;89;67;44;67;"2024-03-19 09:18:16"
IT, Medien und Telekommunikation;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Anwendungsentwickler/-betreuer;IT-Anwendungsentwickler/IT-Anwendungsentwicklerin;Vollzeit;1;61;61;89;94;72;100;50;44;39;39;"2024-03-19 09:19:48"
Banken und Versicherungen;Weniger als 5000;"""Andere Rolle""";Bankkundenberater;Bankkundenberater/Bankkundenberaterin;Beides möglich;1;56;56;78;78;33;83;22;61;28;28;"2024-03-19 09:20:14"
IT, Medien und Telekommunikation;Weniger als 5000;"""Andere Rolle""";Softwareentwickler;Softwareentwickler für Embedded Systems/Softwareentwicklerin für Embedded Systems;Vollzeit;1;67;78;89;61;67;56;33;44;22;78;"2024-03-19 09:20:44"
Banken und Versicherungen;Weniger als 500;"""Andere Rolle""";Privatkundenberater ;Bankkundenberater/Bankkundenberaterin;Vollzeit;0;61;67;22;67;44;94;39;22;17;22;"2024-03-19 09:21:05"
Banken und Versicherungen;Weniger als 500;"""Andere Rolle""";Bankkauffrau;Lehrassistent Grundschule/Lehrassistentin Grundschule;"";0;67;56;67;72;67;83;61;56;56;56;"2024-03-19 09:21:07"
Banken und Versicherungen;Weniger als 1000;"""Andere Rolle""";Privatkundenberater;"";Vollzeit;1;56;44;50;61;100;78;89;94;44;78;"2024-03-19 09:21:50"
IT, Medien und Telekommunikation;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Softwareentwicklung:in;Informatiker/Informatikerin;Vollzeit;1;72;50;39;50;89;44;44;67;33;44;"2024-03-19 09:22:04"
IT, Medien und Telekommunikation;Weniger als 1000;"""Andere Rolle""";Softwareentwickler SAP EWM;Softwareentwickler/Softwareentwicklerin;Vollzeit;1;89;78;78;72;61;100;33;72;72;78;"2024-03-19 09:22:49"
IT, Medien und Telekommunikation;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Softwareentwickler ;Informatiker/Informatikerin;Vollzeit;1;50;72;78;78;78;50;50;44;44;17;"2024-03-19 09:25:56"
Dienstleistungen;"10.000 und mehr";"""Andere Rolle""";Student ;"";Vollzeit;1;67;61;67;67;67;67;67;56;50;44;"2024-03-19 11:42:25"
IT, Medien und Telekommunikation;Weniger als 50;"""Mitarbeitende:r aus dem Team""";Dualer Student ;Ertragsmanager/Ertragsmanagerin;Vollzeit;1;72;61;56;56;67;94;78;83;78;78;"2024-03-19 11:42:28"
Dienstleistungen;Weniger als 100;"""Mitarbeitende:r aus dem Team""";Ertragsmanager;Ertragsmanager/Ertragsmanagerin;Vollzeit;1;67;50;50;72;61;50;56;67;33;72;"2024-03-19 11:43:10"
IT, Medien und Telekommunikation;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";"";Ertragsmanager/Ertragsmanagerin;Vollzeit;1;94;89;100;67;56;61;44;72;67;44;"2024-03-19 11:43:46"
