"sector";"company_size";"user_role";"job_position";"occupation";"working_times";"home_office";"self_initiative";"flexibility";"leadership";"communication";"creativity";"customer_orientation";"organization";"problem_solving";"resilience";"goal_orientation";"created"
IT, Medien und Telekommunikation;Weniger als 1000;"""Andere Rolle""";Marketingmanager;"";Vollzeit;1;89;83;78;83;83;78;72;56;44;72;"2024-03-19 11:44:34"
Produzierendes Gewerbe / Industrie;Weniger als 1000;"""Mitarbeitende:r aus dem Team""";Dualer Student im E Commerce;"";Vollzeit;1;61;67;33;78;44;61;44;44;44;44;"2024-03-19 11:46:35"
IT, Medien und Telekommunikation;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Führungskraft Medientechnologe ;Medientechnologe Druck/Medientechnologin Druck;Vollzeit;0;61;56;94;44;22;100;39;61;78;44;"2024-03-19 11:46:43"
IT, Medien und Telekommunikation;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";"";Technischer Leiter für Bühne, Film und Fernsehen/Technische Leiterin für Bühne, Film und Fernsehen;Vollzeit;1;50;61;56;67;89;78;83;50;78;83;"2024-03-19 11:46:52"
Handel;Weniger als 5000;"""Andere Rolle""";duale Studentin ;"";"";1;56;56;100;67;72;78;89;39;33;56;"2024-03-19 11:48:36"
Handel;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";"";Brand Manager/Brand Managerin;"";1;100;100;100;100;100;100;100;100;100;100;"2024-03-19 11:49:54"
Produzierendes Gewerbe / Industrie;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Marketingleiter ;Marketingleiter/Marketingleiterin;Vollzeit;1;94;89;72;89;78;89;78;72;72;67;"2024-03-19 11:52:20"
IT, Medien und Telekommunikation;Weniger als 10.000;[];Head of Media ;Projektmanager/Projektmanagerin;Vollzeit;1;72;61;89;39;50;50;67;61;72;72;"2024-03-19 11:53:14"
Handel;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Außendienstmitarbeiter;"";Vollzeit;0;83;83;83;83;83;78;78;100;100;100;"2024-03-21 11:41:30"
Handel;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Mitarbeiter im Kundenservice;Kundenservice-Manager/Kundenservice-Managerin;Vollzeit;1;28;22;17;50;33;72;28;56;39;39;"2024-03-21 11:42:33"
Handel;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Außendienstmitarbeiter;;Vollzeit;0;72;83;83;78;83;89;89;72;83;83;"2024-03-21 11:42:54"
Dienstleistungen;Weniger als 1000;"""Mitarbeitende:r aus dem Team""";Markeringmanager;;Vollzeit;0;83;78;67;67;67;61;72;72;78;72;"2024-03-21 11:42:55"
Handel;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Produktmanager;Produktentwicklungsmanager/Produktentwicklungsmanagerin;Vollzeit;1;94;83;78;67;89;72;67;83;94;83;"2024-03-21 11:43:02"
Dienstleistungen;Weniger als 50;"""Mitarbeitende:r aus dem Team""";Dualer Student in der Geschäftsstelle;"";Vollzeit;1;78;72;89;89;72;83;94;44;56;83;"2024-03-21 11:43:43"
Produzierendes Gewerbe / Industrie;Weniger als 1000;"""Mitarbeitende:r aus dem Team""";Vertriebsmitarbeiter;"";Vollzeit;0;94;89;100;100;100;100;100;100;100;100;"2024-03-21 11:44:42"
Handel;Weniger als 1000;"""Mitarbeitende:r aus dem Team""";Recruiter;"";Vollzeit;1;61;61;72;89;67;94;89;61;50;72;"2024-03-21 11:45:07"
Öffentlicher Sektor;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Marketing und Öffentlichkeitsarbeit (PR);"";Vollzeit;0;94;72;67;67;78;78;61;50;44;61;"2024-03-21 11:45:09"
Dienstleistungen;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Recruiter ;"";Vollzeit;0;83;67;78;72;100;72;100;78;72;100;"2024-03-21 11:45:14"
Sonstiges;"10.000 und mehr";"""Andere Rolle""";Fachkraft im Controlling;"";Vollzeit;1;61;89;78;72;67;67;78;83;83;89;"2024-03-21 11:45:33"
Produzierendes Gewerbe / Industrie;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Key Account Manager;"";"";1;83;83;100;89;83;100;72;100;72;72;"2024-03-21 11:46:00"
Produzierendes Gewerbe / Industrie;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Social Publishing;Online-Marketingspezialist/Online-Marketingspezialistin;Vollzeit;1;89;50;72;61;83;56;39;50;56;78;"2024-03-21 11:46:03"
Öffentlicher Sektor;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Sachbearbeiter;Sachbearbeiter für den Bereich Zwangsvollstreckung/Sachbearbeiterin für den Bereich Zwangsvollstreckung;Beides möglich;0;61;78;50;56;50;100;72;17;67;39;"2024-03-21 11:46:08"
Produzierendes Gewerbe / Industrie;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Costumer Experience Management;"";Vollzeit;1;89;83;67;94;67;100;89;56;44;72;"2024-03-21 11:48:21"
Handel;Weniger als 500;"""Andere Rolle""";Dualer Student;"";Vollzeit;0;56;39;61;67;67;72;61;50;67;67;"2024-03-21 11:48:40"
Gesundheits- und Bildungssektor;Weniger als 50;"""Andere Rolle""";Dualer Student für BWL Dienstleistungsmanagement - Sportmanagement;"";Vollzeit;0;67;50;67;67;67;67;67;67;67;67;"2024-03-21 11:48:50"
Handel;Weniger als 10.000;"""Andere Rolle""";Key Account Manager;"";Vollzeit;1;78;61;94;78;67;89;89;78;67;72;"2024-03-21 11:49:08"
Handel;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Disposition ;"";Vollzeit;1;78;44;61;72;67;72;33;56;89;50;"2024-03-21 11:49:36"
Handel;Weniger als 50;"""Mitarbeitende:r aus dem Team""";"";Verkaufssachbearbeiter/Verkaufssachbearbeiterin;Vollzeit;0;44;28;56;33;39;50;44;28;28;28;"2024-03-21 11:50:17"
Produzierendes Gewerbe / Industrie;Weniger als 500;"""Andere Rolle""";ERP Anwendungsbetreuer ;"";Vollzeit;0;78;67;61;67;94;50;33;78;44;39;"2024-03-21 11:51:43"
Energie- und Wasserversorgung / Umwelt;Weniger als 500;"""Oberes Management""";Leitung Verkauf;Energiemanager/Energiemanagerin;Vollzeit;0;100;61;83;89;72;83;50;50;78;89;"2024-03-23 13:31:22"
Sonstiges;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Mitarbeiter;Metallziehmaschinenbediener/Metallziehmaschinenbedienerin;Vollzeit;1;33;67;72;50;61;72;72;39;39;67;"2024-03-25 12:05:38"
IT, Medien und Telekommunikation;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Specialista zákaznické linky ;Spezialist für Preiskalkulation/Spezialistin für Preiskalkulation;Vollzeit;1;67;56;94;56;50;89;67;50;28;89;"2024-03-25 21:52:54"
Gesundheits- und Bildungssektor;Weniger als 50;"""Oberes Management""";MFA/ MTA;Medizinisch-technischer Laborassistent/Medizinisch-technische Laborassistentin;Beides möglich;0;100;100;94;83;78;94;89;72;17;72;"2024-03-26 15:24:26"
Dienstleistungen;Weniger als 50;"""Bereichsleitung""";HR Manager (m/w/d);Personalberater/Personalberaterin;Vollzeit;1;100;39;50;67;61;67;83;67;50;100;"2024-03-27 09:57:36"
Sonstiges;"";[];"";"";"";0;0;0;0;0;0;0;0;0;0;0;"2024-04-04 07:13:15"
Handel;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Frische VerkäuferIn;Verkäufer/Verkäuferin;Vollzeit;0;39;67;67;83;72;94;33;39;44;39;"2024-04-04 11:33:26"
Handel;"10.000 und mehr";"""Andere Rolle""";Sachbearbeiter Personalreferat;Personalsachbearbeiter/Personalsachbearbeiterin;Vollzeit;1;50;50;56;67;56;61;61;72;94;94;"2024-04-04 11:33:27"
Sonstiges;Weniger als 500;"""Andere Rolle""";Bäckereifachverkäuferin;"";Beides möglich;0;50;56;83;78;61;89;61;56;61;28;"2024-04-04 11:33:44"
Handel;Weniger als 500;"""Andere Rolle""";Dualer Student;"";Vollzeit;0;56;67;83;56;67;89;94;78;67;94;"2024-04-04 11:34:19"
Handel;Weniger als 100;"""Mitarbeitende:r aus dem Team""";Abteilungsleiter ;"";Beides möglich;0;78;83;83;61;67;89;78;67;78;78;"2024-04-04 11:34:23"
Produzierendes Gewerbe / Industrie;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Standortleitung Qualitätssicherung/-management (m/w/d);Lebensmitteltechniker/Lebensmitteltechnikerin;Vollzeit;0;100;94;94;100;89;89;94;78;67;83;"2024-04-04 11:34:24"
Handel;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Fachkraft Lebensmittelsicherheit;Fachkraft Lebensmittelsicherheit;Beides möglich;0;56;72;89;56;61;67;89;83;78;100;"2024-04-04 11:34:33"
Dienstleistungen;Weniger als 1000;"""Andere Rolle""";Koch ;"";Beides möglich;0;89;72;72;78;89;67;17;39;67;72;"2024-04-04 11:34:43"
Sonstiges;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Eventmanager;"";Vollzeit;0;100;100;100;94;94;94;94;78;56;94;"2024-04-04 11:35:19"
Handel;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Bürofachkraft;"";"";0;78;33;67;50;67;44;67;56;56;67;"2024-04-04 11:35:42"
Produzierendes Gewerbe / Industrie;Weniger als 1000;"""Mitarbeitende:r aus dem Team""";Bäckereifachverkäuferin;"";Vollzeit;0;72;61;67;89;83;94;83;50;22;78;"2024-04-04 11:36:40"
Handel;"10.000 und mehr";"""Andere Rolle""";"";Einkäufer/Einkäuferin;Vollzeit;0;89;67;100;100;89;33;100;89;83;94;"2024-04-04 11:36:46"
Dienstleistungen;Weniger als 100;"""Mitarbeitende:r aus dem Team""";Duale Studentin im Bereich Einkauf;Einkäufer/Einkäuferin;Vollzeit;0;67;83;72;83;89;89;94;67;61;72;"2024-04-04 11:37:37"
Produzierendes Gewerbe / Industrie;Weniger als 500;"""Andere Rolle""";Prduktmanager*in;Produktmanager/Produktmanagerin;Vollzeit;1;89;72;94;83;72;83;89;72;67;78;"2024-04-04 11:38:17"
Handel;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Vertriebsinnendienst - Kundenberater im Backoffice;"";Beides möglich;1;61;72;72;83;94;94;72;67;72;72;"2024-04-04 11:38:54"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Social media manager;Digital-Marketing-Manager/Digital-Marketing-Managerin;Beides möglich;1;89;61;67;67;72;72;67;67;67;61;"2024-04-04 11:40:22"
Handwerk;Weniger als 100;"""Andere Rolle""";Konditoren, Köche, Bäcker, Hilfskräfte;"";Beides möglich;0;72;78;61;78;61;67;78;61;44;72;"2024-04-04 11:40:45"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Projektleiter Global Service & Support;IT-Kundenbetreuer/IT-Kundenbetreuerin;Vollzeit;0;83;83;83;83;83;83;83;83;83;83;"2024-04-09 07:16:05"
Handel;Weniger als 5000;"""Andere Rolle""";"";"";Vollzeit;1;72;72;67;67;67;67;67;67;67;67;"2024-04-09 07:16:12"
Handel;"10.000 und mehr";"""Andere Rolle""";Projektleiter Internationaler Einkauf;IT-Kundenbetreuer/IT-Kundenbetreuerin;Vollzeit;1;83;72;83;89;83;78;72;72;83;83;"2024-04-09 07:17:41"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";IT Consultant;Projektmanager/Projektmanagerin;Vollzeit;1;67;67;67;67;67;67;67;67;67;67;"2024-04-09 07:20:16"
Produzierendes Gewerbe / Industrie;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Fachinformatiker;Medizinisch-technischer Laborassistent/Medizinisch-technische Laborassistentin;Vollzeit;1;83;67;72;72;78;67;72;72;67;78;"2024-04-09 07:22:30"
Produzierendes Gewerbe / Industrie;Weniger als 500;"""Andere Rolle""";"";"";Vollzeit;0;50;61;56;44;67;44;61;72;61;83;"2024-04-09 07:22:37"
Dienstleistungen;Weniger als 50;"""Mitarbeitende:r aus dem Team""";Informatiker ;"";"";1;39;78;61;50;67;78;78;72;72;61;"2024-04-09 07:22:39"
Handel;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Professionell ;Informatiker/Informatikerin;Beides möglich;1;78;72;94;72;72;78;78;61;67;61;"2024-04-09 07:22:48"
Energie- und Wasserversorgung / Umwelt;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";"";"";Vollzeit;0;67;67;67;67;61;67;67;61;56;61;"2024-04-09 07:23:51"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";IT Consultant;IT-Projektmanager/IT-Projektmanagerin;Beides möglich;1;67;50;78;83;61;78;83;83;67;67;"2024-04-09 07:24:00"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Informatiker;Informatiker/Informatikerin;Vollzeit;1;78;67;78;89;89;94;89;50;61;83;"2024-04-09 07:24:25"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";IT Projektleiter Service & Support;IT-Projektmanager/IT-Projektmanagerin;Vollzeit;1;89;67;78;83;83;67;61;67;56;83;"2024-04-09 07:24:46"
Energie- und Wasserversorgung / Umwelt;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Mitarbeiter;Informatiker/Informatikerin;Vollzeit;0;44;56;72;67;67;67;67;67;67;67;"2024-04-09 07:26:29"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Projektleiter im Warengeschäft;Informatiker/Informatikerin;Vollzeit;1;72;78;100;89;72;78;78;78;50;72;"2024-04-09 07:29:35"
Handel;"10.000 und mehr";"""Andere Rolle""";Einkäufer;Ertragsmanager/Ertragsmanagerin;Vollzeit;0;100;83;89;89;83;78;94;83;72;72;"2024-04-09 07:58:16"
Handel;Weniger als 5000;"""Andere Rolle""";Internationaler disponent ;Ertragsmanager/Ertragsmanagerin;Vollzeit;0;72;67;94;100;72;89;83;67;61;61;"2024-04-09 08:00:04"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Mitarbeiter Verkauf Frischfisch;Fachverkäufer/Fachverkäuferin;Vollzeit;0;61;83;83;94;78;100;78;67;67;94;"2024-04-09 08:00:51"
Produzierendes Gewerbe / Industrie;Weniger als 1000;"""Mitarbeitende:r aus dem Team""";Verkäufer*in in unserer Filiale am Karlsplatz Stachus ;Verkäufer/Verkäuferin;Teilzeit;0;78;39;44;78;72;100;67;50;61;67;"2024-04-09 08:01:09"
Dienstleistungen;Weniger als 50;"""Andere Rolle""";Restaurantmanager;Restaurantmanager/Restaurantmanagerin;Vollzeit;0;67;72;78;67;50;89;67;100;61;94;"2024-04-09 08:01:22"
Handel;Weniger als 1000;"""Mitarbeitende:r aus dem Team""";Abteilungsleiter für SB-Wurst und Convenience ;Einzelhändler/Einzelhändlerin;Vollzeit;0;67;61;89;100;83;83;83;83;72;78;"2024-04-09 08:01:35"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Einkaufsassistenz;"";Vollzeit;1;72;83;94;100;83;83;89;78;83;83;"2024-04-09 08:01:46"
Sonstiges;Weniger als 50;"""Mitarbeitende:r aus dem Team""";Eventmanager;Eventmanager/Eventmanagerin;Vollzeit;1;78;50;94;89;56;78;78;50;83;72;"2024-04-09 08:03:29"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Einkaufsleiter;Einkaufsleiter/Einkaufsleiterin;Vollzeit;0;100;100;100;100;67;33;67;33;67;33;"2024-04-09 08:03:32"
Handel;Weniger als 1000;"""Mitarbeitende:r aus dem Team""";Fachverkäufer für Fleisch- und Wurstwaren;Fachverkäufer für Fleisch- und Wurstwaren/Fachverkäuferin für Fleisch- und Wurstwaren;Beides möglich;0;50;22;61;78;56;56;50;78;83;39;"2024-04-09 08:04:00"
Handel;Weniger als 5000;"""Andere Rolle""";Junior Projektassistent;"";Vollzeit;1;72;72;83;94;67;89;83;56;50;94;"2024-04-09 08:04:06"
Produzierendes Gewerbe / Industrie;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Controlling ;Prognosemanager/Prognosemanagerin;Beides möglich;0;78;67;83;61;61;33;56;67;39;89;"2024-04-09 08:05:00"
Handel;Weniger als 5000;"""Andere Rolle""";Junior Consultant bei Branding and Packaging;Mediengestalter Digital und Print – Gestaltung und Technik/Mediengestalterin Digital und Print – Gestaltung und Technik;Beides möglich;1;67;72;72;61;50;50;44;89;89;50;"2024-04-09 08:06:33"
Öffentlicher Sektor;Weniger als 1000;"""Bereichsleitung""";Vertriebsunterstützung;Ertragsmanager/Ertragsmanagerin;Teilzeit;1;83;67;72;67;83;83;94;61;67;78;"2024-04-09 08:14:43"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Senior Projektleiter;Projektmanager/Projektmanagerin;Vollzeit;1;94;100;89;100;100;100;100;100;100;100;"2024-04-10 07:15:31"
Produzierendes Gewerbe / Industrie;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Key Account Manager;Ertragsmanager/Ertragsmanagerin;Vollzeit;0;33;50;56;83;83;83;72;72;83;89;"2024-04-10 07:15:52"
Handel;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Projektmanager E-Commerce;"";Vollzeit;1;100;94;100;100;100;100;100;100;100;83;"2024-04-10 07:16:04"
IT, Medien und Telekommunikation;"10.000 und mehr";"""Andere Rolle""";Digital Marketing Manager Paid Search;Digital-Marketing-Manager/Digital-Marketing-Managerin;Vollzeit;1;67;67;83;83;78;78;78;78;83;72;"2024-04-10 07:16:51"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Dualer Student;"";Vollzeit;0;83;89;89;94;94;89;89;83;94;89;"2024-04-10 07:17:12"
Handel;Weniger als 500;"""Andere Rolle""";"";Entwickler von Benutzeroberflächen/Entwicklerin von Benutzeroberflächen;Vollzeit;1;78;61;72;89;56;11;50;50;61;78;"2024-04-10 07:17:50"
Handel;Weniger als 500;"""Andere Rolle""";Social Media Manager;Digital-Marketing-Manager/Digital-Marketing-Managerin;Vollzeit;1;94;78;83;78;83;56;72;39;56;61;"2024-04-10 07:18:19"
Handel;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Großkundenverkäufer;Großhändler/Großhändlerin;Vollzeit;0;72;72;89;94;89;83;83;100;89;89;"2024-04-10 07:18:25"
IT, Medien und Telekommunikation;"10.000 und mehr";"""Andere Rolle""";Junior Consultant ;IT-Consultant für Systemintegration;Vollzeit;0;78;78;94;94;83;100;83;78;67;89;"2024-04-10 07:18:26"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Manager Brand Experience;"";Vollzeit;1;78;67;89;72;83;61;89;67;72;72;"2024-04-10 07:18:30"
IT, Medien und Telekommunikation;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";(Junior) Professional Business Consulting;IT-Consultant für Systemintegration;Vollzeit;1;89;78;61;78;89;94;83;72;67;83;"2024-04-10 07:19:06"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Performance Marketing Manager;"";Vollzeit;1;83;61;83;67;78;72;78;50;50;78;"2024-04-10 07:19:15"
Produzierendes Gewerbe / Industrie;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Key Account Manager Professional;Ertragsmanager/Ertragsmanagerin;Vollzeit;1;83;61;89;78;56;78;89;72;61;89;"2024-04-10 07:19:16"
Handel;"10.000 und mehr";"""Andere Rolle""";Projektleiterin Apps und Systeme;Programmmanager/Programmmanagerin;Vollzeit;1;61;61;94;89;78;78;72;56;44;67;"2024-04-10 07:19:19"
Gesundheits- und Bildungssektor;Weniger als 50;"""Oberes Management""";MFA;Medizinisch-technischer Laborassistent/Medizinisch-technische Laborassistentin;Teilzeit;0;83;56;78;94;78;83;94;78;83;100;"2024-04-14 16:31:02"
Verkehr, Transport und Logistik;"10.000 und mehr";"""Bereichsleitung""";Teamleiter Lagerlogistik;Führungskraft in der Lagerwirtschaft;Vollzeit;0;50;78;83;61;72;50;56;78;72;89;"2024-04-18 12:55:59"
Handel;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Webcontent;Web-Content-Manager/Web-Content-Managerin;Vollzeit;0;61;56;61;44;78;72;44;72;89;83;"2024-04-19 08:11:01"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Verkäufer / Verkäuferin  ;Verkäufer/Verkäuferin;Vollzeit;0;78;78;94;72;72;89;83;78;72;67;"2024-04-19 08:11:01"
Handel;"10.000 und mehr";"""Bereichsleitung""";Warenbereichsleiter;"";Vollzeit;0;56;67;67;61;56;61;50;67;61;61;"2024-04-19 08:11:33"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Fachverkäufer für Fleisch und Wurstprodukte;Fachverkäufer/Fachverkäuferin;Teilzeit;0;89;94;89;94;72;94;67;67;83;94;"2024-04-19 08:14:07"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Verkäufer im Einzelhandel;Verkäufer/Verkäuferin;Teilzeit;0;17;44;17;78;56;100;17;33;28;22;"2024-04-19 08:14:57"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Kassenkraft in Teilzeit / Vollzeit;Kassierer/Kassiererin;Beides möglich;0;0;56;22;56;50;100;28;56;28;39;"2024-04-19 08:15:00"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Duale Studentin im Einkauf;"";Vollzeit;1;83;67;94;39;44;78;72;33;44;72;"2024-04-19 08:15:31"
Handel;"10.000 und mehr";"""Andere Rolle""";Duale Student;Verkaufsleiter/Verkaufsleiterin;Vollzeit;0;61;61;78;78;56;50;67;61;72;56;"2024-04-19 08:15:42"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Junior Einkäufer Nonfood;Einkäufer/Einkäuferin;Vollzeit;1;89;39;78;72;61;72;44;56;39;67;"2024-04-19 08:15:56"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";"";Verkäufer/Verkäuferin;Beides möglich;0;50;44;39;72;44;44;22;39;78;56;"2024-04-19 08:16:05"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Junior Einkäufer Obst&Gemüse;Einkäufer/Einkäuferin;Vollzeit;1;83;83;89;67;72;94;83;56;78;61;"2024-04-19 08:16:14"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Duale Studentin im Internationalen Einkauf;"";Vollzeit;0;78;78;94;78;50;78;78;50;50;83;"2024-04-19 08:16:30"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Kassierer;Verkäufer/Verkäuferin;Teilzeit;0;56;44;56;44;33;61;50;39;22;22;"2024-04-19 08:16:44"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Dualer Student ;"";Vollzeit;0;67;50;72;61;67;50;78;50;28;67;"2024-04-19 08:18:14"
