"sector";"company_size";"user_role";"job_position";"occupation";"working_times";"home_office";"self_initiative";"flexibility";"leadership";"communication";"creativity";"customer_orientation";"organization";"problem_solving";"resilience";"goal_orientation";"created"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Dualer Student;Warenhausleiter/Warenhausleiterin;Vollzeit;1;78;56;94;61;78;94;100;56;56;72;"2024-04-19 08:19:01"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Verkäufer/Kassierer ;Verkäufer/Verkäuferin;Teilzeit;0;50;72;56;83;89;56;72;56;50;22;"2024-04-19 08:19:32"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";"";Verkäufer/Verkäuferin;Teilzeit;0;11;39;39;72;33;67;50;56;83;17;"2024-04-19 08:19:58"
Verkehr, Transport und Logistik;"10.000 und mehr";"""Bereichsleitung""";Warehouse Operator;Lagerarbeiter/Lagerarbeiterin;Vollzeit;0;22;22;28;33;50;33;22;89;56;28;"2024-04-19 09:46:24"
Verkehr, Transport und Logistik;"10.000 und mehr";"""Bereichsleitung""";Team Leiter Logistik;Führungskraft in der Lagerwirtschaft;Vollzeit;0;89;61;78;61;50;78;72;44;44;44;"2024-04-19 10:53:06"
Verkehr, Transport und Logistik;"10.000 und mehr";"""Bereichsleitung""";Operations Manager;Betriebsleiter/Betriebsleiterin;Vollzeit;0;78;50;78;50;67;44;22;44;50;89;"2024-04-19 10:59:02"
Handwerk;Weniger als 100;"""HR\/Recruiting""";Recruiter;;Beides möglich;1;89;83;56;83;83;83;83;83;83;83;"2024-04-19 11:29:50"
Verkehr, Transport und Logistik;"10.000 und mehr";"""Bereichsleitung""";Manager Operations Kontraktlogistik;Führungskraft in der Lagerwirtschaft;Vollzeit;1;100;100;100;100;100;100;100;100;100;100;"2024-04-22 09:07:19"
Verkehr, Transport und Logistik;"10.000 und mehr";"""Bereichsleitung""";Warehouse Operator;Lagerarbeiter/Lagerarbeiterin;Vollzeit;0;28;22;22;33;56;22;44;39;44;17;"2024-04-22 10:14:57"
Handwerk;Weniger als 500;"""Andere Rolle""";Projektleiter Veranstaltungen;"";Vollzeit;0;89;78;83;83;83;0;78;67;89;78;"2024-04-22 10:26:58"
Dienstleistungen;Weniger als 1000;"""Andere Rolle""";Mitarbeiter im Außendienst ;;Vollzeit;0;61;67;72;67;56;78;61;72;67;72;"2024-04-22 10:27:03"
Banken und Versicherungen;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Referent;"";Beides möglich;0;83;72;22;0;56;56;28;50;56;67;"2024-04-22 10:27:06"
Land- und Forstwirtschaft / Rohstoffe;Weniger als 100;"""Bereichsleitung""";Getreideeinkauf;Einkäufer/Einkäuferin;Vollzeit;1;78;83;78;83;83;78;83;72;67;72;"2024-04-22 10:30:01"
Handel;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Projektmanager Logistik ;Assistent für den Bereich Supply-Chain-Management/Assistentin für den Bereich Supply-Chain-Management;Vollzeit;1;89;72;72;100;89;89;22;44;50;50;"2024-04-22 10:30:30"
Produzierendes Gewerbe / Industrie;Weniger als 50;"""Mitarbeitende:r aus dem Team""";Vertriebsmitarbeiter;Vertriebsleiter für Milchprodukte und Speiseöle/Vertriebsleiterin für Milchprodukte und Speiseöle;Vollzeit;0;44;72;67;89;83;100;89;78;72;72;"2024-04-22 10:30:49"
Produzierendes Gewerbe / Industrie;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Weintechnologe;"";Vollzeit;0;94;83;78;78;89;72;83;56;83;89;"2024-04-22 10:31:55"
Handwerk;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Fleischereifachverkäufer/in;Fachverkäufer für Fleisch- und Wurstwaren/Fachverkäuferin für Fleisch- und Wurstwaren;Vollzeit;0;78;72;94;67;44;94;67;72;67;56;"2024-04-22 10:32:02"
Dienstleistungen;Weniger als 100;"""Mitarbeitende:r aus dem Team""";Mitarbeiter:in Sales & Marketing ;"";Vollzeit;0;89;72;83;94;83;83;67;50;33;61;"2024-04-22 10:32:38"
Handel;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Projektmanager:in im E-Commerce;E-Business-Manager/E-Business-Managerin;Vollzeit;1;100;67;100;89;100;94;83;67;78;83;"2024-04-22 10:32:44"
Dienstleistungen;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Assistant Buyer;Einkäufer/Einkäuferin;Vollzeit;0;67;50;44;50;22;0;17;56;67;67;"2024-04-22 10:32:52"
Produzierendes Gewerbe / Industrie;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Vertriebsmitarbeiter;"";Vollzeit;1;89;72;78;89;72;100;72;78;72;94;"2024-04-22 10:33:03"
Gesundheits- und Bildungssektor;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Entwickler back end;Softwareentwickler/Softwareentwicklerin;Vollzeit;1;83;72;83;67;94;72;89;83;94;61;"2024-04-22 13:36:31"
Dienstleistungen;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Full-stack Developer mit Fokus auf Backend;Softwareentwickler/Softwareentwicklerin;Beides möglich;1;83;78;56;44;61;50;56;67;61;67;"2024-04-23 08:18:01"
Sonstiges;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";"";IT-Systementwickler/IT-Systementwicklerin;Vollzeit;0;72;67;78;72;61;72;72;50;44;50;"2024-04-23 08:33:34"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";verkaufsleiter;Verkaufsleiter/Verkaufsleiterin;Vollzeit;0;56;50;78;56;78;83;67;67;44;72;"2024-04-23 08:56:27"
Handel;"10.000 und mehr";"""Andere Rolle""";"";Verkaufsleiter/Verkaufsleiterin;Vollzeit;0;56;67;50;78;83;39;56;67;94;67;"2024-04-23 08:57:16"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Verkaufsleiter;Verkaufsleiter/Verkaufsleiterin;Vollzeit;1;89;89;94;83;78;94;100;83;78;100;"2024-04-23 09:00:34"
Handel;"10.000 und mehr";"""Bereichsleitung""";Verkaufsleiter ;Verkaufsleiter/Verkaufsleiterin;Vollzeit;0;67;44;100;83;67;50;78;61;67;83;"2024-04-23 09:00:42"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Hausleitung ;Warenhausleiter/Warenhausleiterin;Vollzeit;0;78;78;33;83;83;100;72;67;72;72;"2024-04-23 09:01:00"
Handel;"10.000 und mehr";"""Andere Rolle""";Warenberechsleiter;Abteilungsleiter/Abteilungsleiterin;Beides möglich;0;33;33;50;72;83;89;56;39;33;44;"2024-04-23 09:01:46"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Junior Consulting ;"";Vollzeit;1;83;94;83;100;83;100;94;72;61;72;"2024-04-23 09:01:54"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Filialleiter;Ertragsmanager/Ertragsmanagerin;Vollzeit;0;78;67;89;89;56;72;94;61;83;67;"2024-04-23 09:02:26"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Hausleiter;Supermarktleiter/Supermarktleiterin;Vollzeit;0;61;39;72;44;78;61;72;61;33;50;"2024-04-23 09:02:32"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Hausleiter;Supermarktleiter/Supermarktleiterin;Vollzeit;0;56;94;89;100;67;61;100;78;78;100;"2024-04-23 09:02:37"
Handel;"10.000 und mehr";"""Andere Rolle""";"";Warenhausleiter/Warenhausleiterin;Vollzeit;0;61;50;67;78;61;100;56;39;72;61;"2024-04-23 09:03:28"
Handel;"10.000 und mehr";"""Teamleitung""";Filialleiter;Supermarktleiter/Supermarktleiterin;Vollzeit;0;56;67;61;83;78;67;67;39;83;61;"2024-04-23 09:03:52"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Filialleiter ;Warenhausleiter/Warenhausleiterin;Vollzeit;0;56;61;78;89;78;94;89;78;67;72;"2024-04-23 09:03:57"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Marktleiter;Supermarktleiter/Supermarktleiterin;Vollzeit;0;61;56;100;78;83;89;89;61;83;100;"2024-04-23 09:04:46"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Hausleitung eines Marktes;Warenhausleiter/Warenhausleiterin;Vollzeit;0;83;83;61;94;72;78;83;78;72;78;"2024-04-23 09:04:48"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Verkaufsleiter ( Chef von 5 Filialleiter);"";"";0;72;50;61;61;61;72;67;39;50;61;"2024-04-23 09:05:25"
Handel;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Hausleitung einer Filiale;;Vollzeit;0;89;83;89;67;72;94;72;56;67;89;"2024-04-23 09:05:54"
Handel;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Hausleitung im Lebensmitteleinzelhandel;Supermarktleiter/Supermarktleiterin;Vollzeit;0;61;44;89;100;78;100;100;61;78;89;"2024-04-23 09:09:00"
Gesundheits- und Bildungssektor;Weniger als 1000;"""Mitarbeitende:r aus dem Team""";"";Softwareentwickler/Softwareentwicklerin;Vollzeit;1;72;72;56;72;72;94;89;61;61;89;"2024-04-23 09:15:53"
Sonstiges;Weniger als 500;"""HR\/Recruiting""";Personalleiter;Personalberater/Personalberaterin;"";0;72;72;56;61;67;56;83;39;22;61;"2024-04-25 06:16:21"
Handel;Weniger als 1000;"""Oberes Management""";Personalsachbearbeiter;Bürokaufmann/Bürokauffrau;Vollzeit;1;67;83;89;72;72;67;89;44;39;78;"2024-04-25 07:37:21"
IT, Medien und Telekommunikation;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";DH Student Enterprise IT Architecture;"";Vollzeit;0;67;83;83;56;61;67;67;67;67;67;"2024-04-25 14:09:33"
Verkehr, Transport und Logistik;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Wirtschaftsinformatiker ;Informatiker/Informatikerin;Vollzeit;0;83;56;100;100;100;100;100;100;100;100;"2024-04-25 14:09:34"
Produzierendes Gewerbe / Industrie;"10.000 und mehr";"""Andere Rolle""";Wirtschaftinformatiker;Informatiker/Informatikerin;Vollzeit;1;83;56;61;67;83;67;50;61;44;83;"2024-04-25 14:09:42"
IT, Medien und Telekommunikation;"10.000 und mehr";"""Andere Rolle""";"";Dramaturg/Dramaturgin;Teilzeit;0;39;61;61;56;56;67;72;100;100;100;"2024-04-25 14:11:00"
Produzierendes Gewerbe / Industrie;"10.000 und mehr";"""Andere Rolle""";"";Projektmanager/Projektmanagerin;Vollzeit;1;94;94;89;94;94;94;94;94;89;89;"2024-04-25 14:15:09"
Produzierendes Gewerbe / Industrie;"10.000 und mehr";"""Andere Rolle""";"";Softwareentwickler/Softwareentwicklerin;Vollzeit;0;89;83;50;28;78;28;33;39;61;94;"2024-04-25 14:15:15"
Handel;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Teamleiter ;Datenbankadministrator/Datenbankadministratorin;Vollzeit;0;72;61;72;72;72;78;89;50;72;78;"2024-04-25 14:17:15"
Produzierendes Gewerbe / Industrie;Weniger als 1000;"""Andere Rolle""";Softwareentwickler;Softwareentwickler/Softwareentwicklerin;Vollzeit;1;67;72;100;56;61;17;17;11;67;39;"2024-04-25 14:18:03"
Dienstleistungen;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Informatiker;Informatiker/Informatikerin;Vollzeit;1;56;61;94;78;56;89;67;56;33;72;"2024-04-25 14:19:12"
Dienstleistungen;"10.000 und mehr";"""Andere Rolle""";"";Informatiker/Informatikerin;Vollzeit;1;61;56;67;39;50;50;28;67;22;17;"2024-04-25 14:19:50"
Handel;Weniger als 5000;"""Andere Rolle""";"";Softwareentwickler/Softwareentwicklerin;Vollzeit;0;78;83;67;56;67;33;72;56;50;72;"2024-04-25 14:19:55"
IT, Medien und Telekommunikation;"10.000 und mehr";"""Andere Rolle""";Professional Data Engineer;Data-Warehouse-Entwickler/Data-Warehouse-Entwicklerin;Vollzeit;1;61;50;67;39;67;67;67;56;33;44;"2024-04-25 14:21:49"
Handel;"10.000 und mehr";"""Andere Rolle""";Sales;IT-Kundenbetreuer/IT-Kundenbetreuerin;Vollzeit;1;50;28;50;67;33;83;89;72;83;100;"2024-04-25 14:22:50"
Produzierendes Gewerbe / Industrie;Weniger als 5000;"""Andere Rolle""";Informatiker Intern;Informatiker/Informatikerin;Vollzeit;1;72;72;44;61;72;33;44;67;72;72;"2024-04-25 14:23:43"
Produzierendes Gewerbe / Industrie;Weniger als 50;"""Mitarbeitende:r aus dem Team""";Projektmanager in der Lebensmittelindustrie;"";Vollzeit;0;83;78;89;78;78;89;89;83;67;94;"2024-04-26 08:36:21"
Handel;Weniger als 50;"""Oberes Management""";Wurstfachverkäufer;Fachverkäufer/Fachverkäuferin;Beides möglich;0;44;78;22;44;67;100;72;72;61;67;"2024-04-26 10:31:53"
Handel;Weniger als 100;"""Oberes Management""";Debitorenbuchhalter/in (m/w/d);Buchhalter/Buchhalterin;Vollzeit;1;67;72;89;94;83;89;89;72;83;89;"2024-04-26 11:59:49"
Handel;Weniger als 100;"""Oberes Management""";Mitarbeiter/-in im Kundenservice;Mitarbeiter Callcenter/Mitarbeiterin Callcenter;Vollzeit;1;83;89;78;100;72;100;83;94;100;94;"2024-04-29 09:29:25"
IT, Medien und Telekommunikation;Weniger als 50;"""Oberes Management""";Projektleiter Medienforschung;Medizinisch-technischer Laborassistent/Medizinisch-technische Laborassistentin;Vollzeit;0;83;83;89;78;61;33;89;44;22;67;"2024-04-29 16:25:13"
Gesundheits- und Bildungssektor;Weniger als 1000;"""Andere Rolle""";Betreuung Labore;Lehrassistent Grundschule/Lehrassistentin Grundschule;Teilzeit;0;39;89;67;94;72;100;61;72;56;33;"2024-04-30 08:20:22"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Trainer ;Personal Trainer/Personal Trainerin;Vollzeit;0;78;83;72;61;83;72;56;39;33;89;"2024-04-30 08:20:26"
Sonstiges;Weniger als 1000;"""Mitarbeitende:r aus dem Team""";Mitarbeiter im Einkauf;Einkäufer/Einkäuferin;Vollzeit;0;50;83;67;89;56;67;33;56;72;72;"2024-04-30 08:20:46"
Handel;"10.000 und mehr";"""Andere Rolle""";Sachbearbeiter HR Reporting;Personalsachbearbeiter/Personalsachbearbeiterin;Vollzeit;1;50;61;83;89;72;94;83;56;44;56;"2024-04-30 08:21:41"
Handel;"10.000 und mehr";"""Andere Rolle""";Sachbearbeiter HR Reporting;Personalsachbearbeiter/Personalsachbearbeiterin;Vollzeit;1;50;67;83;89;72;94;89;44;44;83;"2024-04-30 08:21:43"
Verkehr, Transport und Logistik;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Personalreferent;Personalsachbearbeiter/Personalsachbearbeiterin;Vollzeit;1;61;72;89;89;61;94;78;39;50;72;"2024-04-30 08:22:00"
Gesundheits- und Bildungssektor;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";"";Krankenpfleger Allgemeine Krankenpflege/Krankenschwester Allgemeine Krankenpflege;Beides möglich;0;83;83;56;50;28;83;89;0;50;28;"2024-04-30 08:22:30"
Dienstleistungen;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Assistenz der Geschäftsführung;Vorstandsassistent/Vorstandsassistentin;Teilzeit;1;50;61;67;56;67;56;67;89;78;83;"2024-04-30 08:22:58"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Projektmanagement für Datenlöschung;Programmmanager/Programmmanagerin;Vollzeit;1;78;72;72;61;50;50;67;67;78;50;"2024-04-30 08:22:59"
Dienstleistungen;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Consultant Assurance Solution;Wirtschaftsberater/Wirtschaftsberaterin;Vollzeit;1;78;44;44;44;56;83;83;39;39;50;"2024-04-30 08:23:03"
Öffentlicher Sektor;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Teamleitung Personalbetreuung;Führungskraft im Personalwesen;Vollzeit;0;89;94;100;83;83;83;78;78;94;100;"2024-04-30 08:23:23"
Öffentlicher Sektor;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Teamleitung in der Personalbetreuung;Führungskraft im Personalwesen;Vollzeit;0;83;100;100;83;83;83;78;78;94;100;"2024-04-30 08:23:24"
Handel;Weniger als 1000;"""HR\/Recruiting""";Produktmanager;"";Vollzeit;1;72;72;72;83;94;67;94;78;61;89;"2024-04-30 08:23:30"
Dienstleistungen;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";CNC Fräser ;CNC-Fräser/CNC-Fräserin;Vollzeit;0;67;44;89;78;61;61;89;72;78;78;"2024-04-30 08:23:33"
Dienstleistungen;Weniger als 500;"""HR\/Recruiting""";"";Ressourcenmanager/Ressourcenmanagerin;Vollzeit;0;72;89;94;78;83;94;89;39;44;78;"2024-04-30 08:24:03"
"";"";[];"";"";"";0;83;67;94;89;78;94;100;67;67;89;"2024-04-30 08:24:11"
Handel;Weniger als 10.000;"""Mitarbeitende:r aus dem Team""";Außendienstmitarbeiter;"";Vollzeit;0;78;67;100;100;78;100;72;78;72;67;"2024-04-30 08:25:36"
Handel;"10.000 und mehr";"""Andere Rolle""";Dualer Student im Personalbereich;"";Vollzeit;1;33;72;56;61;50;89;78;83;44;33;"2024-04-30 08:25:42"
Handel;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Koch;"";Vollzeit;0;61;56;100;83;56;83;78;44;67;39;"2024-04-30 08:25:51"
Sonstiges;Weniger als 1000;"""Andere Rolle""";Projektleiter ;Film- und Fernsehproduzent/Film- und Fernsehproduzentin;Vollzeit;0;61;67;50;72;78;83;94;83;50;61;"2024-04-30 08:58:05"
Dienstleistungen;Weniger als 50;"""Andere Rolle""";"";Bürokaufmann/Bürokauffrau;Vollzeit;0;89;72;89;72;94;89;94;83;83;83;"2024-04-30 09:00:53"
Handel;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Key Account Manager Sales ;"";Vollzeit;1;83;89;100;100;83;100;61;67;72;89;"2024-04-30 09:01:33"
Produzierendes Gewerbe / Industrie;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Fleischermeister;Fleischverarbeitungskraft;Vollzeit;0;50;22;17;44;22;50;28;72;89;28;"2024-04-30 09:02:53"
Handwerk;Weniger als 500;"""Andere Rolle""";Fleischereifachverkäufer;Fachverkäufer für Fleisch- und Wurstwaren/Fachverkäuferin für Fleisch- und Wurstwaren;Vollzeit;0;44;22;22;72;17;89;72;28;44;28;"2024-04-30 09:02:57"
Handwerk;Weniger als 50;"""Mitarbeitende:r aus dem Team""";Verkäuferin;Verkäufer/Verkäuferin;Beides möglich;0;0;72;89;94;61;89;67;44;56;72;"2024-04-30 09:03:02"
Produzierendes Gewerbe / Industrie;Weniger als 50;"""Mitarbeitende:r aus dem Team""";Vertriebsinnendienst;Vertriebsleiter/Vertriebsleiterin;Vollzeit;0;44;61;67;83;72;94;67;78;61;61;"2024-04-30 09:03:12"
Produzierendes Gewerbe / Industrie;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Fachverkäufer;Fachverkäufer für Bäckerei- und Konditoreiwaren/Fachverkäuferin für Bäckerei- und Konditoreiwaren;Beides möglich;0;22;44;56;94;61;83;44;44;67;44;"2024-04-30 09:03:28"
Dienstleistungen;Weniger als 1000;"""Mitarbeitende:r aus dem Team""";"";Führungskraft im Personalwesen;Vollzeit;1;67;44;67;100;83;100;100;44;44;83;"2024-04-30 09:03:34"
Handel;Weniger als 500;"""Mitarbeitende:r aus dem Team""";"";Produktmanager/Produktmanagerin;Vollzeit;0;44;83;100;61;28;78;50;50;72;83;"2024-04-30 09:03:41"
Handel;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";"";Produktmanager/Produktmanagerin;Vollzeit;1;67;44;61;50;78;83;72;28;33;50;"2024-04-30 09:04:52"
Produzierendes Gewerbe / Industrie;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";Dualer Student ;"";Vollzeit;1;72;100;89;56;78;94;100;83;56;100;"2024-04-30 09:05:02"
Handel;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";Bäckereifachverkäufer/in ;Fachverkäufer für Bäckerei- und Konditoreiwaren/Fachverkäuferin für Bäckerei- und Konditoreiwaren;Beides möglich;0;44;44;28;67;39;39;44;33;56;28;"2024-04-30 09:05:32"
Produzierendes Gewerbe / Industrie;Weniger als 5000;"""Mitarbeitende:r aus dem Team""";"";Qualitätsprüfer/Qualitätsprüferin;Vollzeit;0;94;72;89;100;67;89;100;61;61;78;"2024-04-30 09:05:35"
Handel;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Product Data Analyst/Controller;"";Vollzeit;0;100;100;100;94;100;78;89;78;67;78;"2024-04-30 09:05:44"
Dienstleistungen;Weniger als 50;"""Mitarbeitende:r aus dem Team""";Restaurantleitung;;Vollzeit;0;89;94;89;94;72;100;94;67;72;89;"2024-04-30 09:06:27"
Handel;Weniger als 500;"""Mitarbeitende:r aus dem Team""";Thekenfachkraft;Fachverkäufer/Fachverkäuferin;Beides möglich;0;17;22;17;44;17;72;33;28;28;17;"2024-04-30 09:06:31"
Handwerk;Weniger als 500;"""Andere Rolle""";Bäckerfachverkäuferin;Fachverkäufer für Bäckerei- und Konditoreiwaren/Fachverkäuferin für Bäckerei- und Konditoreiwaren;Beides möglich;0;67;61;78;56;67;83;78;89;94;83;"2024-04-30 09:06:52"
Sonstiges;Weniger als 1000;"""Andere Rolle""";Barista;"";Beides möglich;0;33;50;0;61;28;28;0;44;44;17;"2024-04-30 09:08:07"
Handel;Weniger als 1000;"""Mitarbeitende:r aus dem Team""";Auslieferungsfahrer ;Pkw- und Kleintransporter-Lieferfahrer/Pkw- und Kleintransporter-Lieferfahrerin;Beides möglich;0;17;17;17;78;22;50;39;44;44;17;"2024-04-30 09:09:52"
Handwerk;Weniger als 100;"""Andere Rolle""";Verkäufer/in;"";Vollzeit;0;50;83;83;89;83;89;89;83;67;83;"2024-04-30 09:10:00"
Banken und Versicherungen;Weniger als 100;"""Mitarbeitende:r aus dem Team""";Flugsicherungstechniker;Flugsicherungstechniker/Flugsicherungstechnikerin;Vollzeit;0;83;83;83;83;83;83;83;83;83;83;"2024-04-30 13:00:04"
Sonstiges;"10.000 und mehr";"""Mitarbeitende:r aus dem Team""";"";Fachkraft Schutz- und Sicherheit;Teilzeit;0;78;78;83;83;78;94;94;83;83;78;"2024-05-05 23:22:19"
Produzierendes Gewerbe / Industrie;Weniger als 5000;"""Teamleitung""";Produktentwickler (m/w/d) in der Lebensmittelbranche;Produktentwicklungstechniker/Produktentwicklungstechnikerin;Vollzeit;0;83;72;78;72;72;78;78;72;89;83;"2024-05-14 13:12:30"
IT, Medien und Telekommunikation;Weniger als 100;"""Mitarbeitende:r aus dem Team""";"";"";Beides möglich;0;72;50;61;61;61;100;61;72;44;72;"2024-05-18 21:06:11"
Gesundheits- und Bildungssektor;Weniger als 50;"""Teamleitung""";"";Medizinischer Fachangestellter/Medizinische Fachangestellte;Vollzeit;0;50;89;89;100;94;83;67;61;50;72;"2024-05-27 10:51:57"
